order_id,movie_name,director,production_company,importer,distributor,release_date,movie_type,long_short,nationality,nation_screen_count,nation_revenue,num_movie_audience,seoul_revenue,seoul_audience,genre,movie_rating,movie_classification
2171,깊은곳까지 벌려준 유부녀 비서,나가에,,,(주)코빈커뮤니케이션즈,2023-01-11,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2172,깊이 넣어준 사위,,,,(주)픽쳐레스크,2021-09-23,개봉영화,장편,일본,1,"1,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2173,깊이 들어온 형수,버드맨 텟페이,,,(주)라온컴퍼니플러스,2022-06-15,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2174,깊이 들어온 형수 무삭제판,버드맨 텟페이,,,(주)가온콘텐츠,2022-12-01,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2175,까진 친구 이모,사루,,,(주)코빈커뮤니케이션즈,2021-08-24,개봉영화,장편,일본,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2176,꺾여버린 가슴,모소조쿠,,,(주)가온콘텐츠,2022-12-12,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2177,꺾여버린 가슴 무삭제판,모소조쿠,,,(주)가온콘텐츠,2023-03-03,개봉영화,장편,일본,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2178,꼬여버린 섹파들,이로운,(주)영화사히트,,(주)영화사히트,2022-01-11,개봉영화,장편,한국,1,"1,000",1,0,0,성인물(에로),청소년관람불가,일반영화
2179,꽃꽂이 교실:깊숙이 꽂아주세요,아카바네 키쿠지로,,,(주)영진크리에이티브,2021-08-26,개봉영화,장편,일본,1,"6,000",1,0,0,멜로/로맨스,청소년관람불가,일반영화
2180,꽉 물어주는 여자,신승엽,(주)영화사가을,,(주)영화사가을,2022-04-16,개봉영화,장편,한국,1,"6,000",1,0,0,성인물(에로),청소년관람불가,일반영화
